latitude,longitud
38
-6.971619,-84.614502
-15.48746903,-93.50825882
-22.28593644,-83.7602461
-18.62556394,-77.67302473
-20.73095831,-72.9030804
-20.86630793,-68.75445059
-18.48930466,-65.30398561
-13.80955781,-63.65722268
-11.15526295,-66.353281
-12.07940587,-70.04858747
-10.31266613,-72.81495274
-5.347008711,-74.58965969
-3.550644093,-72.36867377
-0.58599585,-70.68818046
0.461097919,-71.92780727
0.599342002,-72.15628636
1.44574496,-73.92000105
0.129295891,-79.61940764
-2.268141752,-84.33771794
-3.850694824,-84.82455719
-4.790744486,-84.37511643
-5.719295187,-83.56352037
-6.837485179,-83.38018722
-7.879379034,-84.59768693
-7.439164727,-85.8315007
-6.584579117,-86.48619976
-5.855215156,-87.08159109
-5.76059619,-88.39678707
-6.321550839,-90.15760189
-8.1958298,-92.25246583
-9.675652249,-91.54145061
-10.80817521,-90.25110691
-12.00658813,-89.0253722
-13.50588257,-88.75745941
-14.55706766,-88.95804255
-14.12005877,-90.25696506
-12.85584669,-90.85224032
-12.81387468,-91.77472265
-13.69123653,-93.1647278
